20260317 070100;6721.25;6721.25;6718.5;6720;381
20260317 070200;6720;6720;6717.5;6718.5;316
20260317 070300;6718.5;6722.5;6718.5;6722.25;424
20260317 070400;6722.25;6723.25;6721;6722;365
20260317 070500;6722;6722.75;6720.75;6722.75;197
20260317 070600;6722.5;6723.75;6722.25;6723;287
20260317 070700;6722.75;6724.5;6722.25;6723;419
20260317 070800;6723.25;6724.75;6722.75;6723.25;325
20260317 070900;6723.25;6723.25;6721;6721.5;378
20260317 071000;6721.5;6723;6721.5;6721.75;242
20260317 071100;6721.75;6723;6721.5;6722.5;156
20260317 071200;6722.25;6723.75;6721;6723.25;214
20260317 071300;6723.25;6723.75;6722;6722;259
20260317 071400;6722;6722.75;6721.75;6722.25;157
20260317 071500;6722.5;6723.5;6722.5;6722.5;151
20260317 071600;6722.5;6723;6721.75;6722;138
20260317 071700;6722.25;6722.5;6721.75;6722.25;84
20260317 071800;6722.25;6723;6722;6722;232
20260317 071900;6722.25;6724;6721.25;6723.75;224
20260317 072000;6723.75;6728;6723.75;6727.5;809
20260317 072100;6727.25;6728.5;6726;6727.75;422
20260317 072200;6727.75;6728.5;6726;6728.5;527
20260317 072300;6728.25;6730.25;6727.75;6730;514
20260317 072400;6730;6731.75;6730;6731.5;624
20260317 072500;6731.25;6731.5;6730;6730.5;574
20260317 072600;6730.5;6731;6728.25;6728.5;406
20260317 072700;6728.25;6731.25;6728.25;6731.25;319
20260317 072800;6731.25;6731.75;6729.75;6729.75;481
20260317 072900;6730;6731.5;6729.75;6731;267
20260317 073000;6731;6731.75;6730.5;6731.25;458
20260317 073100;6731;6732.5;6730.5;6731;621
20260317 073200;6731;6731.75;6730.5;6731.25;365
20260317 073300;6731.25;6731.25;6729.75;6730;195
20260317 073400;6730.25;6732.25;6730;6732.25;233
20260317 073500;6732.25;6732.25;6731;6731.5;330
20260317 073600;6731.75;6732;6731.25;6731.5;166
20260317 073700;6731.25;6731.25;6729.75;6730.25;215
20260317 073800;6730.5;6730.5;6729.5;6730.25;125
20260317 073900;6730.25;6731;6729.25;6730.75;233
20260317 074000;6731;6733.25;6731;6732.75;379
20260317 074100;6733;6735.5;6733;6733.5;549
20260317 074200;6733.5;6733.5;6732.75;6733;323
20260317 074300;6733;6733;6730.25;6730.5;558
20260317 074400;6730.5;6730.5;6729.5;6730;399
20260317 074500;6729.75;6729.75;6729;6729.25;329
20260317 074600;6729.25;6729.25;6727;6727.75;480
20260317 074700;6727.5;6728.75;6727.25;6728.25;281
20260317 074800;6728.5;6729;6728;6728.25;247
20260317 074900;6728.25;6729.5;6727.5;6728.5;498
20260317 075000;6728.25;6728.75;6727.25;6728;426
20260317 075100;6728;6728;6725.5;6725.5;243
20260317 075200;6725.75;6726.75;6725;6725;318
20260317 075300;6725.5;6726;6723.75;6724.5;294
20260317 075400;6724.25;6724.75;6723.75;6724.25;153
20260317 075500;6724.25;6725.25;6724;6724;120
20260317 075600;6724;6725.25;6723.75;6724.75;149
20260317 075700;6724.75;6725.75;6724.5;6724.5;292
20260317 075800;6724.5;6725.25;6724.5;6724.75;120
20260317 075900;6724.75;6725.75;6724.5;6725.75;226
20260317 080000;6725.75;6726.5;6725;6726.25;304
20260317 080100;6726;6732.25;6726;6731.25;1966
20260317 080200;6731.75;6734.25;6730.75;6733.5;1286
20260317 080300;6733.5;6733.75;6728.75;6729.75;975
20260317 080400;6730;6733.25;6730;6731.75;829
20260317 080500;6731.75;6731.75;6728;6730.75;631
20260317 080600;6730.75;6731;6729.25;6730;573
20260317 080700;6730;6730.25;6726.25;6726.75;1040
20260317 080800;6726.5;6730;6726.5;6729.75;555
20260317 080900;6729.75;6731;6728.75;6730.75;895
20260317 081000;6730.5;6730.5;6725.75;6726.5;499
20260317 081100;6726.5;6727.75;6724.5;6725;580
20260317 081200;6724.75;6726;6723.25;6724.75;657
20260317 081300;6724.75;6725.75;6724;6725.75;501
20260317 081400;6725.75;6728.75;6725.5;6728.25;729
20260317 081500;6728;6728.25;6724;6725.25;733
20260317 081600;6725;6725.5;6723.5;6724.75;617
20260317 081700;6724.75;6727.25;6723.75;6727.25;536
20260317 081800;6727.25;6728.25;6726.25;6727;600
20260317 081900;6727;6727.25;6724.75;6726.75;704
20260317 082000;6726.75;6730.5;6726.5;6730.5;977
20260317 082100;6730.25;6731.75;6727.5;6728.25;819
20260317 082200;6728.5;6728.75;6727.5;6728.5;732
20260317 082300;6728.25;6729.75;6727.75;6729.75;458
20260317 082400;6729.5;6729.5;6726.75;6727.25;484
20260317 082500;6727.5;6729.5;6724.5;6726;664
20260317 082600;6726;6728.25;6725;6728;520
20260317 082700;6728;6728.5;6726;6726.5;663
20260317 082800;6726.5;6728.5;6726;6726.25;740
20260317 082900;6726.25;6726.5;6723.5;6724.75;737
20260317 083000;6724.75;6724.75;6722.75;6723.75;1043
20260317 083100;6723.75;6726;6723.5;6724.75;961
20260317 083200;6724.5;6725.5;6723.25;6724.5;815
20260317 083300;6724.5;6726.5;6724.5;6726.5;473
20260317 083400;6726.5;6727.25;6725.5;6726;668
20260317 083500;6726;6726.75;6723.75;6723.75;537
20260317 083600;6723.75;6724.75;6720.75;6720.75;889
20260317 083700;6720.75;6722;6719.25;6721;881
20260317 083800;6720.75;6722;6720.25;6721.25;603
20260317 083900;6721.25;6724.25;6721;6723.5;563
