Timestamp,Bid_Vol,Best_Bid,Ask_Vol,Best_Ask,Session_CVD,Imbalance,Mid_Price,Hour,Minute,Future_Price_60s,Target
2026-01-01 23:00:00-05:00,1138,6923.25,1330,6923.5,-327.0,-192,6923.375,23,0,6923.375,0
2026-01-01 23:00:01-05:00,3154,6923.5,2745,6923.25,-484.0,409,6923.375,23,0,6923.375,0
2026-01-01 23:00:02-05:00,0,6923.5,90,6923.25,-420.0,-90,6923.375,23,0,6924.0,0
2026-01-01 23:00:03-05:00,125,6923.0,142,6923.25,-489.0,-17,6923.125,23,0,6924.0,0
2026-01-01 23:00:04-05:00,716,6923.25,777,6923.25,-361.0,-61,6923.25,23,0,6923.5,0
2026-01-01 23:00:05-05:00,136,6923.25,191,6923.5,-336.0,-55,6923.375,23,0,6923.5,0
2026-01-01 23:00:06-05:00,108,6923.25,22,6923.5,-422.0,86,6923.375,23,0,6922.75,0
2026-01-01 23:00:07-05:00,130,6923.25,23,6923.5,-302.0,107,6923.375,23,0,6922.75,0
2026-01-01 23:00:08-05:00,32,6923.25,0,6923.5,-334.0,32,6923.375,23,0,6922.75,0
2026-01-01 23:00:09-05:00,0,6923.25,64,6924.25,-270.0,-64,6923.75,23,0,6923.375,0
2026-01-01 23:00:10-05:00,1359,6923.25,950,6923.5,-884.0,409,6923.375,23,0,6923.375,0
2026-01-01 23:00:11-05:00,0,6923.25,14,6923.5,-879.0,-14,6923.375,23,0,6923.375,0
2026-01-01 23:00:12-05:00,181,6923.25,20,6923.5,-1057.0,161,6923.375,23,0,6923.375,0
2026-01-01 23:00:13-05:00,339,6923.25,49,6923.5,-1159.0,290,6923.375,23,0,6923.375,0
2026-01-01 23:00:14-05:00,202,6923.25,51,6923.5,-1340.0,151,6923.375,23,0,6923.375,0
2026-01-01 23:00:15-05:00,0,6923.25,0,6923.5,-1340.0,0,6923.375,23,0,6923.375,0
2026-01-01 23:00:16-05:00,336,6923.25,20,6923.5,-1399.0,316,6923.375,23,0,6923.375,0
2026-01-01 23:00:17-05:00,0,6923.25,51,6923.5,-1379.0,-51,6923.375,23,0,6923.375,0
2026-01-01 23:00:18-05:00,327,6923.25,442,6923.5,-1359.0,-115,6923.375,23,0,6923.375,0
2026-01-01 23:00:19-05:00,0,6923.25,0,6923.5,-1359.0,0,6923.375,23,0,6923.25,0
2026-01-01 23:00:20-05:00,0,6923.25,69,6923.5,-1359.0,-69,6923.375,23,0,6922.25,0
2026-01-01 23:00:21-05:00,0,6923.25,32,6923.5,-1359.0,-32,6923.375,23,0,6923.375,0
2026-01-01 23:00:22-05:00,90,6923.25,110,6923.5,-1356.0,-20,6923.375,23,0,6924.375,0
2026-01-01 23:00:23-05:00,64,6923.0,0,6923.5,-1420.0,64,6923.25,23,0,6923.375,0
2026-01-01 23:00:24-05:00,1828,6923.25,1981,6923.25,-1193.0,-153,6923.25,23,0,6923.375,0
2026-01-01 23:00:25-05:00,87,6921.0,103,6923.5,-1258.0,-16,6922.25,23,0,6923.375,0
2026-01-01 23:00:26-05:00,97,6921.0,8,6923.5,-1355.0,89,6922.25,23,0,6923.375,0
2026-01-01 23:00:27-05:00,0,6921.0,85,6923.5,-1346.0,-85,6922.25,23,0,6923.375,0
2026-01-01 23:00:28-05:00,0,6921.0,49,6923.5,-1346.0,-49,6922.25,23,0,6923.25,0
2026-01-01 23:00:29-05:00,59,6923.25,68,6923.5,-1396.0,-9,6923.375,23,0,6923.25,0
2026-01-01 23:00:30-05:00,257,6923.25,100,6923.5,-1565.0,157,6923.375,23,0,6923.375,0
2026-01-01 23:00:31-05:00,0,6923.25,55,6923.75,-1510.0,-55,6923.5,23,0,6923.375,0
2026-01-01 23:00:32-05:00,0,6923.25,0,6923.75,-1510.0,0,6923.5,23,0,6922.75,0
2026-01-01 23:00:33-05:00,0,6923.25,44,6923.5,-1515.0,-44,6923.375,23,0,6922.75,0
2026-01-01 23:00:34-05:00,0,6923.25,8,6923.5,-1515.0,-8,6923.375,23,0,6923.375,0
2026-01-01 23:00:35-05:00,236,6923.25,104,6923.5,-1539.0,132,6923.375,23,0,6923.375,0
2026-01-01 23:00:36-05:00,0,6923.25,0,6923.5,-1539.0,0,6923.375,23,0,6922.25,0
2026-01-01 23:00:37-05:00,111,6923.25,14,6923.5,-1636.0,97,6923.375,23,0,6922.25,0
